VmhNames,MetNames,MetaNetX,CHEBI,HMDB,SwissLipids,VMH,InChIkey,InChIkey2D
2hexdtricoa,"trans,cis,cis-2,7,10-hexadecatrienoyl-CoA",MNXM1529798,,,,CE2433,WJHWJZSGWIEAAU-VTDWEAPRSA-J,WJHWJZSGWIEAAU
2hibup_R,2-hydroxyibuprofen(1-),MNXM1371867,133196,HMDB0060698,,2hibup_R,UJHKVYPPCJBOSG-UHFFFAOYSA-M,UJHKVYPPCJBOSG
2hibup_S,2-hydroxyibuprofen(1-),MNXM1371867,133196,HMDB0060698,,2hibup_R,UJHKVYPPCJBOSG-UHFFFAOYSA-M,UJHKVYPPCJBOSG
2hibupglu_S,2-hydroxy S-ibuprofen-glucuronide,MNXM1529731,,,,2hibupglu_S,DWGAVOBNHKPQRA-UHFFFAOYSA-M,DWGAVOBNHKPQRA
2hiv,2-hydroxy-3-methylbutyric acid,MNXM1106847,60645,HMDB0000407,,2hiv,NGEWQZIDQIYUNV-UHFFFAOYSA-N,NGEWQZIDQIYUNV
2hxic_L,(R)-2-hydroxy-4-methylpentanoate,MNXM1106763,55535,HMDB0000624,,2hxic_L,LVRFTAZAXQPQHI-RXMQYKEDSA-M,LVRFTAZAXQPQHI
2hydog,2-hydroxyglutarate,MNXM1364405,11596,HMDB0059655,,2hydog,HWXBTNAVRSUOJR-UHFFFAOYSA-L,HWXBTNAVRSUOJR
2hyoxplac,(2-hydroxyphenyl)acetate,MNXM2160,62423,HMDB0000669,,2hyoxplac,CCVYRRGZDBSHFU-UHFFFAOYSA-M,CCVYRRGZDBSHFU
2kmb,4-methylsulfanyl-2-oxobutanoate,MNXM276,16723,HMDB0001553,,2kmb,SXFSQZDSUWACKX-UHFFFAOYSA-M,SXFSQZDSUWACKX
2m3hbu,3-hydroxy-2-methylbutanoic acid,MNXM36489,37051,HMDB0000354,,2m3hbu,VEXDRERIMPLZLU-UHFFFAOYSA-N,VEXDRERIMPLZLU
2m3hvac,2-Methyl-3-hydroxyvaleric acid,MNXM116857,173537,HMDB0029166,,2m3hvac,NVIHALDXJWGLFD-UHFFFAOYSA-N,NVIHALDXJWGLFD
2m3ovac,2-methyl-3-ketovaleric acid,MNXM35256,86365,HMDB0000408,,2m3ovac,QTLYPQZWYOHATR-UHFFFAOYSA-N,QTLYPQZWYOHATR
2m3ovcoa,2-Methyl-3-Oxo-Valeryl Coenzyme A,MNXM744417,,,,2m3ovcoa,KQGBVZCGKIYZSZ-UHFFFAOYSA-J,KQGBVZCGKIYZSZ
2maacoa,2-methyl-3-oxobutanoyl-CoA,MNXM1104585,57335,,SLM:000001051,2maacoa,NHNODHRSCRALBF-NQNBQJKNSA-J,NHNODHRSCRALBF
2mb2coa,(2E)-2-methylbut-2-enoyl-CoA,MNXM1365068,57337,HMDB0000993,SLM:000489966,2mb2coa,PMWATMXOQQZNBX-DKBZLLMOSA-J,PMWATMXOQQZNBX
2mbcoa,(2S)-2-methylbutanoyl-CoA,MNXM1365459,88166,HMDB0001041,SLM:000389759,2mbcoa,LYNVNYDEQMMNMZ-JRQZLUQRSA-J,LYNVNYDEQMMNMZ
2mcacn,2-methyl-cis-aconitate,MNXM1792,57872,HMDB0006357,,2mcacn,NUZLRKBHOBPTQV-ARJAWSKDSA-K,NUZLRKBHOBPTQV
2mcit,"(2S,3S)-2-methylcitrate",MNXM1366233,58853,,,2mcit,YNOXCRMFGMSKIJ-NFNCENRGSA-K,YNOXCRMFGMSKIJ
2mop,2-methyl-3-oxopropanoate,MNXM305,57700,HMDB0001172,,2mop,VOKUMXABRRXHAR-UHFFFAOYSA-M,VOKUMXABRRXHAR
2mp2coa,(2E)-2-methylpropenoyl-CoA,MNXM1104781,62500,HMDB0001011,SLM:000485722,2mp2coa,NPALUEYCDZWBOV-NDZSKPAWSA-J,NPALUEYCDZWBOV
2mpdhl,S(8)-(2-methylpropanoyl)dihydrolipoamide,MNXM740144,17577,HMDB0006868,,2mpdhl,UEFURMXXHJCLJP-UHFFFAOYSA-N,UEFURMXXHJCLJP
2obut,2-oxobutanoate,MNXM159,16763,HMDB0000005,,2obut,TYEYBOSBBBHJIV-UHFFFAOYSA-M,TYEYBOSBBBHJIV
2octdectecoa,"2,6,9,12-octadecatetraenoylcoa",MNXM1529733,,,,2octdectecoa,ARCCYNRJAHXWRR-HCBKTGEKSA-J,ARCCYNRJAHXWRR
2octpencoa,"2,6,9,12,15-Octadecapentenoyl Coenzyme A",MNXM744419,,,,2octpencoa,PDRIJPFVKOBYQM-OXYAKQEASA-J,PDRIJPFVKOBYQM
2oxoadp,2-oxoadipate,MNXM263,57499,HMDB0000225,,2oxoadp,FGSBNBBHOZHUBO-UHFFFAOYSA-L,FGSBNBBHOZHUBO
